game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2016_098,OLY-RED,13,REGULAR SEASON,E2016,OLY,RED,12,12,17,17,7,14,25,16,11,19,8,11,7,8,3,3,3,7,9,5,9,2,33,40,40,25,7,20,43-34,22,50-34,5,2,4-2,4,4-7,17,3,26,4,55-38,6-9
E2016_099,MAD-BAM,13,REGULAR SEASON,E2016,MAD,BAM,4,0,25,7,12,5,29,5,11,21,4,7,6,6,7,2,1,3,14,8,7,11,55,40,20,52,11,1,0-0,4,11-0,12,32,79-42,35,79-54,37,0,32,0,79-42,
E2016_100,UNK-GAL,13,REGULAR SEASON,E2016,UNK,GAL,0,0,15,14,6,4,30,7,7,23,10,5,9,5,1,4,7,2,12,4,9,5,42,31,30,30,14,22,37-36,26,51-36,11,19,37-25,22,37-36,18,3,39,5,73-55,5-8
E2016_101,MIL-PAN,13,REGULAR SEASON,E2016,MIL,PAN,4,6,13,21,18,11,20,12,17,25,10,4,7,6,2,0,5,2,12,5,10,4,38,34,34,52,8,35,50-76,36,58-76,16,18,29-30,22,29-46,5,26,10,35,21-16,50-76
E2016_102,ULK-DAR,13,REGULAR SEASON,E2016,ULK,DAR,4,7,8,17,10,11,23,7,9,23,9,5,11,3,5,0,5,3,13,2,5,3,50,14,39,32,8,13,20-24,14,28-24,7,5,11-8,7,11-15,6,11,3,26,9-3,37-48
E2016_103,BAS-BAR,13,REGULAR SEASON,E2016,BAS,BAR,7,5,13,14,13,10,30,9,14,28,8,6,8,7,10,2,5,4,4,6,16,1,47,18,53,9,9,26,36-42,29,45-42,9,1,0-0,4,0-9,4,11,31,23,49-45,26-37
E2016_104,TEL-CSK,13,REGULAR SEASON,E2016,TEL,CSK,32,9,16,25,2,9,29,6,7,20,19,4,5,6,5,0,5,4,12,5,9,9,51,25,36,44,7,12,31-20,14,38-20,9,24,52-47,27,52-56,18,5,14,34,38-20,63-68
E2016_105,BAM-OLY,14,REGULAR SEASON,E2016,BAM,OLY,12,2,18,11,2,11,25,8,11,22,10,2,7,6,6,3,2,3,11,7,8,4,65,17,33,35,11,1,0-0,4,11-0,9,19,48-27,23,48-36,21,0,19,0,48-27,
E2016_106,RED-MAD,14,REGULAR SEASON,E2016,RED,MAD,10,14,18,16,13,7,26,7,8,28,5,6,8,7,2,3,5,3,11,5,15,1,36,46,48,22,14,12,22-25,15,36-25,6,11,22-19,12,22-25,17,3,39,2,80-63,0-3
E2016_107,GAL-IST,14,REGULAR SEASON,E2016,GAL,IST,7,18,15,25,20,18,27,14,14,24,14,5,5,8,4,4,11,2,15,5,5,12,56,20,62,24,10,8,8-16,10,18-16,10,28,58-54,32,58-64,11,14,17,35,38-27,60-74
